书号_x0000__x0000_,商品名称_x0000__x0000__x0000__x0000_,定价名称,总订数称_x0000__x0000_,码洋数称,出版社称_x0000__x0000_,编码社称
9787110054291,大鼻头告诉你--彩图儿童安全教育故事_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,9.00,1,9,科学普及诉你--,H0100000000000125326
9787500766445,狄得夫小子2--女孩儿不该惊讶25326_x0000__x0000__x0000__x0000__x0000__x0000__x0000_,12.00,1,12,中国少年02--,H0100000000000168570
9787500766469,狄得夫小子4--羞涩一瞥90168570_x0000_,12.00,1,12,中国少年04--,H0100000000000168572
9787500769545,杨红樱童话(科信源)54501685,18.00,1,18,中国少年0(科信,H0100000000000168693
9787500769552,杨红樱童话207695,18.00,1,18,中国少年0207,H0100000000000168694
9787020057191,格林童话精选--语文新课标必读丛书修订版(小学部分)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,9.00,1,9,人民文学精选--,H0100000000000112011
9787500784159,我长大了(学习篇)--嘟嘟熊快乐大课堂丛书小学部分)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,11.50,1,11.5,中国少年0学习篇,H0100000000000169210
9787500784135,床单香香(生活篇)--嘟嘟熊快乐大课堂丛书小学部分)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,11.50,1,11.5,中国少年0生活篇,H0100000000000169208
9787506340458,神厨小福贵463404,11.00,1,11,作家出版0463,H0100000000000208002
9787020077939,格兰特船长的儿女77939020,30.00,1,30,人民文学0的儿女,H0100000000000113643
9787500118459,罗密欧与朱丽叶(英汉对照)0113643书小学部,18.00,1,18,中国对外0丽叶(,H0100000000000165458
9787504649119,日本漫画创作技法--神奇幻想165458书小学部分),39.90,1,39.9,中国科技0作技法,H0100000000000197644
9787020070244,小兵张嘎--语文新课标必读丛书增订版(小学部分)分)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,16.00,1,16,人民文学0-语文,H0100000000000113166
9787500786108,青鸟--世界畅销儿童文学名著113166学部分)分),18.00,1,18,中国少年0界畅销,H0100000000000169314
9787020070268,外国短篇童话精选(小学部分)--语文新课标必读丛书)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,14.00,1,14,人民文学0话精选,H0100000000000113168
9787500777861,小飞侠彼得潘--世界畅销儿童文学名著(全译本)丛书)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,14.00,1,14,中国少年0潘--,H0100000000000168979
9787801291295,美丽的叶子--兔宝宝多元学习系列8979译本)丛书)_x0000__x0000__x0000__x0000_,9.00,1,9,华乐出版子--兔,H0100000000000252946
9787500120704,骆驼祥子读名著学语文--方洲新概念语文新课标必读丛书_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,13.80,1,13.8,中国对外0名著学,H0100000000000165605
